"Year","Month","Dekad","Rainfall (mm)","Average (mm)"
2015,1,1,55.614,47.87
2015,1,2,30.131,51.218
2015,1,3,27.02,58.87
2015,2,1,48.655,41.975
2015,2,2,22.507,39.613
2015,2,3,13.136,31.832
2015,3,1,17.462,28.237
2015,3,2,7.448,20.325
2015,3,3,36.954,21.315
2015,4,1,24.464,8.98
2015,4,2,16.236,6.332
2015,4,3,5.708,5.655
2015,5,1,0.859,1.045
2015,5,2,0.421,0.434
2015,5,3,0.538,0.529
2015,6,1,0.379,0.444
2015,6,2,0.487,0.545
2015,6,3,0.419,0.47
2015,7,1,0.216,0.226
2015,7,2,0.17,0.162
2015,7,3,0.224,0.224
2015,8,1,0.18,0.161
2015,8,2,0.219,0.187
2015,8,3,0.304,0.247
2015,9,1,0.936,0.345
2015,9,2,0.508,0.439
2015,9,3,0.983,1.292
2015,10,1,1.93,3.394
2015,10,2,4.304,5.658
2015,10,3,1.75,9.556
2015,11,1,3.284,14.963
2015,11,2,21.091,20.106
2015,11,3,22.309,30.823
2015,12,1,11.686,40.457
2015,12,2,46.331,48.525
2015,12,3,11.628,55.726
2016,1,1,12.19,47.87
2016,1,2,36.985,51.218
2016,1,3,53.26,58.87
2016,2,1,28.825,41.975
2016,2,2,11.604,39.613
2016,2,3,63.796,31.832
2016,3,1,61.35,28.237
2016,3,2,64.292,20.325
2016,3,3,21.692,21.315
2016,4,1,12.14,8.98
2016,4,2,4.753,6.332
2016,4,3,5.266,5.655
2016,5,1,1.164,1.045
2016,5,2,0.688,0.434
2016,5,3,1.014,0.529
2016,6,1,0.548,0.444
2016,6,2,0.636,0.545
2016,6,3,0.546,0.47
2016,7,1,0.352,0.226
2016,7,2,0.231,0.162
2016,7,3,0.283,0.224
2016,8,1,0.19,0.161
2016,8,2,0.212,0.187
2016,8,3,0.319,0.247
2016,9,1,0.365,0.345
2016,9,2,0.456,0.439
2016,9,3,0.88,1.292
2016,10,1,3.262,3.394
2016,10,2,1.206,5.658
2016,10,3,4.35,9.556
2016,11,1,12.682,14.963
2016,11,2,38.817,20.106
2016,11,3,27.935,30.823
2016,12,1,28.856,40.457
2016,12,2,105.18,48.525
2016,12,3,91.553,55.726
2017,1,1,85.54,47.87
2017,1,2,109.098,51.218
2017,1,3,96.1,58.87
2017,2,1,68.084,41.975
2017,2,2,87.98,39.613
2017,2,3,81.16,31.832
2017,3,1,56.945,28.237
2017,3,2,7.382,20.325
2017,3,3,21.788,21.315
2017,4,1,5.873,8.98
2017,4,2,11.738,6.332
2017,4,3,13.546,5.655
2017,5,1,1.639,1.045
2017,5,2,1.049,0.434
2017,5,3,1.568,0.529
2017,6,1,0.428,0.444
2017,6,2,0.494,0.545
2017,6,3,0.484,0.47
2017,7,1,0.367,0.226
2017,7,2,0.242,0.162
2017,7,3,0.473,0.224
2017,8,1,0.265,0.161
2017,8,2,0.249,0.187
2017,8,3,0.335,0.247
2017,9,1,0.366,0.345
2017,9,2,0.367,0.439
2017,9,3,1.278,1.292
2017,10,1,10.551,3.394
2017,10,2,5.328,5.658
2017,10,3,24.033,9.556
2017,11,1,12.264,14.963
2017,11,2,41.273,20.106
2017,11,3,27.392,30.823
2017,12,1,12.709,40.457
2017,12,2,21.524,48.525
2017,12,3,61.879,55.726